,TSLA_OPEN,TSLA_PREV_OPEN
828,66.608002,70.902
829,66.608002,70.902
830,67.267998,68.031998
831,65.783997,68.863998
832,66.258003,67.054001
833,66.258003,67.054001
834,65.987999,66.223999
835,65.987999,66.223999
836,65.987999,66.223999
837,66.973999,66.222
838,67.239998,65.879997
839,66.606003,66.524002
840,66.073997,67.550003
841,67.178001,66.566002
842,67.178001,66.566002
843,67.178001,66.566002
844,67.905998,67.0
845,69.767998,67.318001
846,70.540001,67.991997
847,71.935997,70.375999
848,71.678001,70.984001
849,71.678001,70.984001
850,71.678001,70.984001
851,76.300003,72.209999
852,75.797997,72.510002
853,78.629997,75.797997
854,80.807999,76.125999
855,81.117996,79.463997
856,81.117996,79.463997
857,81.117996,79.463997
858,83.844002,82.057999
859,85.050003,82.356003
860,85.050003,82.356003
861,86.188004,83.671997
862,86.075996,85.582001
863,86.075996,85.582001
864,86.075996,85.582001
865,82.940002,87.0
866,83.666,85.758003
867,83.666,85.758003
868,86.052002,81.0
869,88.601997,84.900002
870,88.601997,84.900002
871,88.601997,84.900002
872,90.307999,88.099998
873,93.811996,88.094002
874,98.428001,92.279999
875,96.267998,94.739998
876,95.629997,99.419998
877,95.629997,99.419998
878,95.629997,99.419998
879,104.972,96.358002
880,107.584,98.699997
881,103.699997,108.851997
882,102.697998,105.952003
883,102.099998,98.75
884,102.099998,98.75
885,102.099998,98.75
886,102.099998,98.75
887,109.440002,101.522003
888,113.912003,106.050003
889,114.440002,114.377998
890,112.963997,112.849998
891,112.963997,112.849998
892,112.963997,112.849998
893,111.603996,114.125999
894,113.379997,108.398003
895,116.197998,113.697998
896,128.162003,115.138
897,130.113998,126.484001
898,130.113998,126.484001
899,130.113998,126.484001
900,156.0,128.0
901,177.412003,134.738007
902,146.940002,176.591995
903,149.792007,164.651993
904,149.613998,139.983994
905,149.613998,139.983994
906,149.613998,139.983994
907,154.255997,146.110001
908,154.876007,160.0
909,153.457993,153.757996
910,160.800003,155.574005
911,160.005997,148.367996
912,160.005997,148.367996
913,160.005997,148.367996
914,160.005997,148.367996
915,171.679993,157.444
916,183.483994,168.320007
917,179.882004,184.699997
918,180.199997,182.389999
919,180.199997,182.389999
920,180.199997,182.389999
921,166.757996,181.395996
922,159.981995,167.800003
923,155.759995,169.800003
924,135.800003,156.5
925,133.598007,146.0
926,133.598007,146.0
927,133.598007,146.0
928,148.723999,125.940002
929,149.102005,142.251999
930,149.899994,161.0
931,144.908005,152.792007
932,140.695999,144.753998
933,140.695999,144.753998
934,140.695999,144.753998
935,121.599998,138.0
936,129.065994,121.078003
937,126.846001,131.886002
938,112.110001,128.039993
939,109.323997,116.178001
940,109.323997,116.178001
941,109.323997,116.178001
942,89.014,119.0
943,86.040001,93.900002
944,72.244003,88.001999
945,85.528,77.800003
946,85.505997,74.940002
947,85.505997,74.940002
948,85.505997,74.940002
949,86.858002,87.639999
950,101.0,86.720001
951,107.849998,95.459999
952,105.632004,109.050003
953,102.872002,109.477997
954,102.872002,109.477997
955,102.872002,109.477997
956,100.426003,101.0
957,104.800003,102.052002
958,96.311996,100.25
959,90.893997,100.800003
960,96.001999,96.206001
961,96.001999,96.206001
962,96.001999,96.206001
963,103.248001,101.900002
964,109.089996,102.239998
965,109.767998,109.0
966,114.599998,110.839996
967,114.599998,110.839996
968,114.599998,110.839996
969,114.599998,110.839996
970,130.190002,112.417999
971,141.977997,118.031998
972,145.966003,139.794006
973,149.042007,148.399994
974,150.778,143.388
975,150.778,143.388
976,150.778,143.388
977,149.272003,154.455994
978,137.343994,146.539993
979,146.421997,146.024002
980,141.126007,140.796005
981,145.029999,145.520004
982,145.029999,145.520004
983,145.029999,145.520004
984,159.75,142.162003
985,153.824005,147.522003
986,160.102005,159.128006
987,156.376007,158.033997
988,140.264008,171.037994
